try_no,round_no,attacking_team,defending_team,attacking_rank,defending_rank,attacking_conf,defending_conf,game_time,try_source,final_source,phases,time_from_source,possession_zone,offloads,passes,total_passes
1,1,Blues,Rebels,9,18,NZ,AUS,17,Scrum,Multiphase,5,41,A,0,1,1
2,1,Blues,Rebels,9,18,NZ,AUS,27,Ruck Turnover,Ruck Turnover,0,24,C,5,3,8
3,1,Blues,Rebels,9,18,NZ,AUS,38,Intercept,Intercept,0,9,B,0,0,0
4,1,Blues,Rebels,9,18,NZ,AUS,44,Lineout,Lineout,0,10,B,0,0,0
5,1,Blues,Rebels,9,18,NZ,AUS,51,Kick Receipt,Kick Receipt,1,13,C,0,2,2
6,1,Blues,Rebels,9,18,NZ,AUS,60,Ruck Turnover,Kick,5,54,D,0,2,2
7,1,Blues,Rebels,9,18,NZ,AUS,63,Ruck Turnover,Ruck Turnover,0,4,B,0,1,1
8,1,Brumbies,Crusaders,4,2,AUS,NZ,41,Ruck Turnover,Multiphase,8,81,B,3,19,22
9,1,Bulls,Stormers,15,3,SA1,SA1,41,Kick Receipt,Kick,5,48,B,2,7,9
10,1,Bulls,Stormers,15,3,SA1,SA1,52,Lineout,Maul,1,15,A,1,2,3
11,1,Bulls,Stormers,15,3,SA1,SA1,62,Handling Error,Multiphase,6,44,C,1,7,8
12,1,Cheetahs,Lions,13,1,SA1,SA2,41,Handling Error,Handling Error,0,7,B,0,0,0
13,1,Chiefs,Highlanders,6,7,NZ,NZ,9,Intercept,Intercept,0,6,B,0,0,0
14,1,Chiefs,Highlanders,6,7,NZ,NZ,17,Intercept,Intercept,0,3,B,0,0,0
15,1,Chiefs,Highlanders,6,7,NZ,NZ,47,Lineout,Lineout,0,4,A,0,1,1
16,1,Crusaders,Brumbies,2,4,NZ,AUS,2,Kick Receipt,Multiphase,13,103,C,3,17,20
17,1,Crusaders,Brumbies,2,4,NZ,AUS,32,Scrum,Scrum,2,26,A,1,6,7
18,1,Crusaders,Brumbies,2,4,NZ,AUS,57,Scrum,Scrum,0,12,A,0,0,0
19,1,Force,Waratahs,12,16,AUS,AUS,27,Scrum,Scrum,0,14,A,0,0,0
20,1,Hurricanes,Sunwolves,5,17,NZ,SA1,5,Scrum,Kick,2,38,C,3,5,8
21,1,Hurricanes,Sunwolves,5,17,NZ,SA1,7,Kick Receipt,Kick,2,29,C,2,3,5
22,1,Hurricanes,Sunwolves,5,17,NZ,SA1,10,Kick Receipt,Kick Receipt,2,24,B,3,3,6
23,1,Hurricanes,Sunwolves,5,17,NZ,SA1,14,Lineout,Lineout,0,4,A,0,1,1
24,1,Hurricanes,Sunwolves,5,17,NZ,SA1,21,Lineout,Lineout,0,13,B,3,2,5
25,1,Hurricanes,Sunwolves,5,17,NZ,SA1,27,Handling Error,Kick,1,31,D,3,1,4
26,1,Hurricanes,Sunwolves,5,17,NZ,SA1,36,Scrum,Scrum,3,45,C,1,9,10
27,1,Hurricanes,Sunwolves,5,17,NZ,SA1,42,Lineout,Lineout,0,9,A,0,3,3
28,1,Hurricanes,Sunwolves,5,17,NZ,SA1,45,Lineout,Lineout,3,27,B,0,3,3
29,1,Hurricanes,Sunwolves,5,17,NZ,SA1,48,Intercept,Intercept,0,11,C,0,0,0
30,1,Hurricanes,Sunwolves,5,17,NZ,SA1,53,Lineout,Maul,1,24,A,0,0,0
31,1,Hurricanes,Sunwolves,5,17,NZ,SA1,56,Intercept,Intercept,0,14,C,0,1,1
32,1,Hurricanes,Sunwolves,5,17,NZ,SA1,59,Intercept,Intercept,0,7,B,0,0,0
33,1,Jaguares,Kings,10,11,SA2,SA2,16,Lineout,Lineout,1,33,D,1,10,11
34,1,Jaguares,Kings,10,11,SA2,SA2,54,Handling Error,Handling Error,1,24,D,1,1,2
35,1,Jaguares,Kings,10,11,SA2,SA2,57,Handling Error,Kick,0,14,C,0,1,1
36,1,Kings,Jaguares,11,10,SA2,SA2,66,Lineout,Lineout,2,22,C,0,5,5
37,1,Kings,Jaguares,11,10,SA2,SA2,80,Lineout,Maul,0,18,A,0,1,1
38,1,Lions,Cheetahs,1,13,SA2,SA1,53,Kick Receipt,Kick,1,23,C,1,4,5
39,1,Lions,Cheetahs,1,13,SA2,SA1,68,Penalty Try,Penalty Try,0,0,A,0,0,0
40,1,Lions,Cheetahs,1,13,SA2,SA1,76,Kick Receipt,Multiphase,4,41,C,1,8,9
41,1,Rebels,Blues,18,9,AUS,NZ,7,Kick Receipt,Kick Receipt,2,27,C,2,6,8
42,1,Rebels,Blues,18,9,AUS,NZ,21,Chargedown,Chargedown,0,2,A,0,0,0
43,1,Reds,Sharks,14,8,AUS,SA2,33,Scrum,Multiphase,5,31,A,0,2,2
